Gold (grams),Monthly Income (PKR),Monthly Expenses (PKR),Marital Status,Employment Type,Region,Income (USD),Assets (USD),Liabilities (USD),Dependents,Net Worth (USD),Zakat Eligibility
43,82830,349299,Widowed,Unemployed,Urban,6578,394590,165712,7,228878,0
144,176538,120990,Single,Salaried,Urban,5370,23507,239920,3,-216413,1
26,199885,322521,Widowed,Business,Rural,3279,62903,269800,0,-206897,1
150,123872,139263,Divorced,Business,Urban,5707,410631,118326,1,292305,0
57,431703,115416,Divorced,Business,Rural,7906,394031,38566,3,355465,0
196,22274,375195,Single,Freelancer,Urban,5820,485561,4793,6,480768,0
183,333509,389278,Married,Freelancer,Rural,5267,318068,65049,6,253019,0
91,122014,389708,Single,Salaried,Urban,4466,33471,262097,8,-228626,1
100,466620,9634,Divorced,Salaried,Urban,2653,314438,70653,4,243785,0
93,240402,346747,Divorced,Business,Rural,3152,306104,286226,2,19878,0
172,8936,362811,Widowed,Salaried,Rural,1182,110002,99457,9,10545,0
156,484303,112291,Widowed,Salaried,Urban,7215,87266,112769,9,-25503,1
141,147819,371816,Married,Business,Urban,4019,66026,276337,2,-210311,1
135,82306,262082,Widowed,Freelancer,Urban,509,90663,247621,3,-156958,1
45,354041,44594,Widowed,Salaried,Urban,8619,48211,129238,1,-81027,1
154,488544,238737,Divorced,Salaried,Urban,1278,219906,91600,1,128306,0
69,270762,360508,Widowed,Unemployed,Rural,7486,10942,140350,2,-129408,1
134,80660,336371,Single,Unemployed,Urban,3798,363577,257321,2,106256,0
25,430413,222713,Divorced,Freelancer,Urban,9953,132472,122987,3,9485,0
169,224106,242063,Single,Salaried,Urban,7182,238283,49032,0,189251,0
29,37877,291911,Married,Salaried,Urban,3596,124521,65726,6,58795,0
5,374468,224393,Divorced,Salaried,Urban,3872,322059,88913,4,233146,0
66,452654,293123,Married,Business,Rural,848,165481,172374,0,-6893,1
82,466297,253891,Single,Salaried,Urban,6531,267783,93519,4,174264,0
181,42443,288721,Married,Salaried,Rural,5441,322476,128376,3,194100,0
34,419444,124155,Single,Unemployed,Rural,350,438997,91653,7,347344,0
34,52530,345554,Single,Salaried,Rural,5408,32979,78861,6,-45882,1
4,400647,38380,Divorced,Unemployed,Rural,4340,290702,118880,8,171822,0
101,381233,270348,Divorced,Freelancer,Rural,3820,408368,53861,1,354507,0
5,109207,45159,Divorced,Salaried,Rural,6684,349854,58232,9,291622,0
92,383744,189337,Single,Business,Urban,5077,464173,142956,7,321217,0
22,230546,28644,Widowed,Freelancer,Rural,3459,276701,184035,7,92666,0
58,361951,392834,Single,Freelancer,Urban,3125,321694,120579,0,201115,0
178,492117,286266,Single,Salaried,Urban,5864,57363,123754,9,-66391,1
189,119023,324925,Widowed,Salaried,Urban,5514,12929,203074,9,-190145,1
100,399302,221573,Widowed,Unemployed,Urban,8946,192773,243536,5,-50763,1
31,228175,129540,Married,Freelancer,Urban,4632,290175,221649,8,68526,0
0,394494,95316,Single,Unemployed,Urban,9246,29773,47392,9,-17619,1
176,71013,271448,Divorced,Unemployed,Rural,5094,244121,150069,8,94052,0
27,253094,57800,Widowed,Salaried,Urban,156,157664,175972,0,-18308,1
113,19789,214961,Divorced,Freelancer,Rural,6038,247766,143771,3,103995,0
198,257183,54128,Married,Business,Rural,9053,290136,193109,6,97027,0
164,406078,89794,Divorced,Unemployed,Rural,8046,124005,250309,3,-126304,1
28,312072,281138,Single,Freelancer,Urban,8700,295972,240095,7,55877,0
146,298797,355065,Single,Freelancer,Urban,6132,111835,236484,8,-124649,1
111,262535,375513,Divorced,Freelancer,Urban,2074,487906,69577,8,418329,0
107,99135,72854,Divorced,Salaried,Rural,1025,201337,127185,1,74152,0
18,264757,378695,Single,Salaried,Urban,7277,215238,2819,1,212419,0
178,420188,183136,Widowed,Salaried,Urban,4095,67386,252221,6,-184835,1
116,244749,209971,Single,Unemployed,Urban,4902,186817,71101,3,115716,0
14,377558,112348,Widowed,Salaried,Rural,7477,351551,54585,7,296966,0
151,257831,147533,Single,Freelancer,Urban,5709,374544,230163,7,144381,0
104,390873,297317,Divorced,Freelancer,Urban,1251,89050,161524,8,-72474,1
188,14070,245210,Divorced,Salaried,Urban,5981,200830,280392,2,-79562,1
52,149223,105278,Single,Unemployed,Urban,9652,358063,173925,1,184138,0
199,355859,309036,Widowed,Salaried,Urban,2444,210753,274744,6,-63991,1
114,344914,188870,Widowed,Salaried,Urban,8352,155635,94086,2,61549,0
186,93097,137531,Widowed,Freelancer,Rural,2175,239627,92283,0,147344,0
6,154675,383172,Divorced,Freelancer,Urban,2551,381427,276112,9,105315,0
91,39645,158164,Married,Business,Urban,6281,157391,64510,6,92881,0
75,443804,258009,Divorced,Salaried,Rural,6384,340639,246082,9,94557,0
89,347725,23833,Widowed,Business,Urban,6275,193809,92957,9,100852,0
98,92045,172423,Divorced,Freelancer,Rural,3834,495677,136895,4,358782,0
67,371347,317335,Single,Unemployed,Urban,9370,335887,139136,4,196751,0
33,232846,85062,Divorced,Unemployed,Rural,707,378611,126277,5,252334,0
6,384467,263793,Single,Business,Urban,5815,106372,485,3,105887,0
181,177765,19720,Divorced,Freelancer,Rural,2670,497908,210081,7,287827,0
194,239312,29402,Divorced,Business,Rural,6100,9136,266575,7,-257439,1
96,80270,188012,Divorced,Business,Urban,3068,68287,222882,3,-154595,1
139,54391,390447,Widowed,Freelancer,Urban,1232,79405,167767,0,-88362,1
57,239542,338051,Single,Salaried,Urban,2183,307497,169296,7,138201,0
51,472733,99313,Divorced,Salaried,Rural,337,300022,126307,5,173715,0
121,234530,250780,Widowed,Freelancer,Rural,5015,372823,167696,3,205127,0
55,228483,379468,Divorced,Business,Rural,8966,139341,88104,2,51237,0
81,297578,303070,Married,Freelancer,Urban,8316,20067,95088,0,-75021,1
2,211373,266680,Single,Business,Urban,741,219776,243389,4,-23613,1
140,421855,208360,Widowed,Freelancer,Urban,1557,82521,146474,1,-63953,1
95,178735,323844,Single,Business,Urban,8830,76825,222393,9,-145568,1
62,11499,215778,Widowed,Freelancer,Urban,5141,284483,77281,4,207202,0
132,14932,247592,Widowed,Freelancer,Rural,2695,378969,285975,1,92994,0
152,9708,298255,Divorced,Freelancer,Rural,9085,228483,170685,7,57798,0
85,51195,282907,Divorced,Freelancer,Urban,9732,265567,181295,8,84272,0
114,361401,73582,Married,Unemployed,Urban,999,391780,124859,2,266921,0
114,214354,167685,Widowed,Freelancer,Urban,1829,441551,280421,3,161130,0
71,269223,35207,Single,Salaried,Rural,4908,132775,10862,0,121913,0
51,387788,301565,Widowed,Salaried,Rural,5285,33875,66558,0,-32683,1
95,110680,375097,Married,Unemployed,Rural,8475,488528,112871,0,375657,0
4,393289,48420,Single,Freelancer,Urban,5729,48816,246304,7,-197488,1
99,67431,220923,Married,Salaried,Rural,365,195283,215847,0,-20564,1
58,448478,336391,Divorced,Freelancer,Urban,2571,285279,250352,2,34927,0
24,466060,136987,Single,Freelancer,Rural,3755,129151,54964,5,74187,0
79,32257,219058,Widowed,Business,Rural,3484,34159,133749,1,-99590,1
87,95919,319655,Single,Salaried,Urban,8084,380841,27347,9,353494,0
13,297517,14344,Divorced,Business,Rural,3877,228618,113494,3,115124,0
51,237391,223226,Single,Unemployed,Rural,3008,401981,129372,5,272609,0
24,269666,169487,Divorced,Freelancer,Urban,4139,229724,259620,7,-29896,1
71,464517,124797,Divorced,Unemployed,Rural,6227,165814,289073,3,-123259,1
55,75845,127001,Married,Salaried,Rural,1787,132122,266850,3,-134728,1
36,383113,305586,Divorced,Business,Rural,579,281172,31005,0,250167,0
197,390831,5005,Widowed,Business,Rural,6030,201190,218769,9,-17579,1
133,193920,197029,Single,Salaried,Urban,6184,423964,265416,9,158548,0
152,341454,172730,Single,Unemployed,Urban,2256,226425,160120,5,66305,0
147,133231,85598,Widowed,Business,Rural,4323,280036,224260,1,55776,0
22,218425,292034,Single,Salaried,Urban,3048,36127,89792,3,-53665,1
56,324893,324247,Divorced,Freelancer,Rural,7114,323752,251603,4,72149,0
180,120590,4390,Divorced,Business,Rural,780,317672,236093,1,81579,0
186,129796,270549,Single,Business,Rural,8244,340348,146227,6,194121,0
117,290166,307611,Married,Business,Rural,3121,449419,157615,8,291804,0
80,348624,300538,Divorced,Salaried,Urban,4800,284978,83604,8,201374,0
60,53365,39527,Single,Unemployed,Rural,4392,444695,170054,6,274641,0
54,12930,391711,Single,Unemployed,Urban,3011,419609,124164,5,295445,0
79,29940,6879,Single,Unemployed,Urban,254,157364,26223,2,131141,0
19,459050,217175,Widowed,Salaried,Rural,6852,342558,103941,8,238617,0
2,487661,40731,Single,Salaried,Urban,9008,5638,111727,7,-106089,1
64,51103,218269,Single,Unemployed,Rural,9429,88812,104189,5,-15377,1
36,195627,34445,Single,Freelancer,Rural,3678,42592,84133,2,-41541,1
162,339644,244253,Single,Salaried,Urban,5178,112016,267908,0,-155892,1
123,154713,179625,Married,Unemployed,Urban,1355,262586,299837,9,-37251,1
15,208370,293343,Widowed,Unemployed,Rural,4167,416039,152713,5,263326,0
111,423713,117886,Single,Freelancer,Rural,5779,350097,129199,2,220898,0
3,76910,275705,Widowed,Salaried,Urban,2951,437300,241986,1,195314,0
2,41302,374047,Single,Business,Rural,3217,237432,14505,4,222927,0
107,228543,147778,Divorced,Business,Rural,4514,340800,152500,4,188300,0
16,88797,132520,Single,Salaried,Rural,7605,279123,265242,2,13881,0
171,48608,281985,Single,Salaried,Urban,8506,131796,298922,7,-167126,1
190,216498,94013,Married,Freelancer,Rural,5710,168174,11557,8,156617,0
97,328160,178240,Married,Unemployed,Rural,9249,297580,256591,3,40989,0
169,77488,387644,Married,Business,Rural,3029,288681,168607,8,120074,0
97,434656,182716,Widowed,Freelancer,Rural,886,400765,290685,1,110080,0
144,254765,179437,Widowed,Freelancer,Urban,9527,347429,95943,9,251486,0
23,179552,169155,Married,Freelancer,Urban,3584,137591,92694,3,44897,0
164,354958,36669,Widowed,Business,Urban,5536,81151,128831,2,-47680,1
1,162479,59052,Single,Unemployed,Urban,2270,21013,125793,6,-104780,1
119,445055,56449,Married,Unemployed,Rural,382,91387,275342,4,-183955,1
13,170739,388383,Single,Business,Rural,8309,59836,287801,2,-227965,1
137,167711,322062,Single,Freelancer,Urban,5977,444120,170799,7,273321,0
14,491994,102440,Married,Unemployed,Rural,2668,388894,129282,3,259612,0
36,178205,213213,Married,Business,Rural,5052,194146,19518,2,174628,0
57,99509,134579,Married,Salaried,Urban,1483,415289,111532,6,303757,0
173,82846,195233,Single,Freelancer,Urban,5822,171596,234607,8,-63011,1
180,479707,122960,Single,Salaried,Urban,8564,244559,168524,8,76035,0
81,110982,132451,Divorced,Business,Rural,5032,387048,222543,3,164505,0
55,442587,16371,Single,Business,Urban,5504,21815,58398,8,-36583,1
12,337799,81733,Married,Unemployed,Rural,3717,294262,21123,8,273139,0
162,51726,253483,Widowed,Salaried,Urban,9611,228178,184256,4,43922,0
163,253737,290395,Single,Business,Rural,1281,77550,109331,3,-31781,1
73,484626,315327,Married,Unemployed,Rural,9615,74488,191427,6,-116939,1
92,216882,151760,Married,Business,Rural,3715,145550,73947,1,71603,0
161,379117,358747,Married,Salaried,Rural,6292,327469,80389,2,247080,0
23,84242,213461,Widowed,Business,Rural,1345,60018,117682,1,-57664,1
180,210610,244998,Widowed,Business,Rural,1697,457336,41124,9,416212,0
26,454816,203891,Divorced,Freelancer,Rural,3919,481008,264194,4,216814,0
73,213926,299676,Single,Business,Rural,515,110560,284269,8,-173709,1
139,476780,347622,Widowed,Business,Urban,287,421690,55164,9,366526,0
142,141447,186985,Divorced,Business,Urban,5640,54464,139990,3,-85526,1
2,289569,280956,Married,Freelancer,Urban,7019,358322,171355,0,186967,0
27,417105,28425,Divorced,Salaried,Urban,4239,430988,42114,0,388874,0
8,425832,306071,Divorced,Freelancer,Rural,2266,182935,149868,6,33067,0
166,215246,136161,Divorced,Unemployed,Rural,7621,94965,183971,3,-89006,1
29,162155,93089,Single,Salaried,Urban,1486,252246,61261,0,190985,0
56,430132,306107,Widowed,Unemployed,Urban,5826,391269,143489,2,247780,0
22,351297,113901,Widowed,Unemployed,Rural,4388,365148,58851,3,306297,0
157,425115,358944,Married,Salaried,Urban,8877,479887,93720,0,386167,0
63,146134,278230,Divorced,Business,Urban,5517,153264,151463,6,1801,1
143,261591,303111,Divorced,Unemployed,Urban,5945,461599,205881,8,255718,0
119,39658,17396,Married,Business,Rural,2736,377451,81718,3,295733,0
163,170053,223332,Widowed,Salaried,Urban,9684,26852,245679,4,-218827,1
29,77124,382257,Single,Unemployed,Rural,2779,106767,27624,7,79143,0
45,473948,323898,Married,Unemployed,Rural,5006,9770,131942,2,-122172,1
100,408253,274278,Married,Salaried,Rural,2014,47462,225661,0,-178199,1
79,155306,133480,Single,Salaried,Urban,3477,292205,104864,1,187341,0
91,399855,67002,Widowed,Business,Urban,5757,357975,22225,7,335750,0
117,178423,152506,Married,Salaried,Urban,4677,480052,176606,1,303446,0
147,192750,36244,Divorced,Freelancer,Urban,2848,458599,129341,7,329258,0
108,257028,108554,Single,Freelancer,Urban,9829,38653,299015,8,-260362,1
55,410120,31730,Widowed,Business,Rural,445,433684,235334,0,198350,0
36,365456,42970,Married,Unemployed,Urban,3935,476576,14295,5,462281,0
189,155632,281836,Single,Business,Rural,4305,473530,132742,4,340788,0
192,386021,12615,Divorced,Unemployed,Urban,5993,87099,176615,3,-89516,1
156,369052,387375,Divorced,Unemployed,Rural,246,474778,89060,2,385718,0
125,62041,152657,Widowed,Unemployed,Rural,172,149108,139990,7,9118,0
125,279453,122461,Single,Salaried,Urban,2561,261020,17418,2,243602,0
127,494835,372008,Single,Business,Rural,3325,153955,217447,5,-63492,1
92,451809,243707,Single,Business,Urban,2721,116983,242440,6,-125457,1
82,311891,191658,Divorced,Business,Urban,9436,456293,111933,7,344360,0
42,121638,382156,Widowed,Business,Urban,9927,272049,29086,0,242963,0
35,32172,126560,Divorced,Freelancer,Urban,4338,393631,59622,6,334009,0
118,490630,6514,Divorced,Unemployed,Urban,5829,479533,198125,7,281408,0
144,458354,259088,Widowed,Unemployed,Rural,7630,238747,32423,5,206324,0
181,360299,180410,Divorced,Business,Rural,1072,124082,253615,7,-129533,1
144,145719,373924,Widowed,Salaried,Urban,9885,463088,252697,2,210391,0
159,184179,120047,Widowed,Salaried,Rural,2364,140005,47320,2,92685,0
143,455689,60533,Married,Freelancer,Urban,5146,494873,177357,8,317516,0
50,484972,182601,Divorced,Salaried,Urban,4915,145583,248219,8,-102636,1
115,110063,372368,Widowed,Business,Rural,291,318777,72488,0,246289,0
186,190999,376983,Single,Freelancer,Urban,5457,170158,134037,5,36121,0
22,433337,363462,Widowed,Freelancer,Rural,5773,43582,224461,1,-180879,1
143,472324,350329,Single,Unemployed,Urban,6246,466501,218366,9,248135,0
31,410270,175797,Widowed,Salaried,Urban,8878,161554,262634,2,-101080,1
65,420099,113324,Married,Salaried,Rural,4610,192846,196562,1,-3716,1
103,144781,294869,Married,Salaried,Urban,2794,359632,258212,8,101420,0
69,115268,327043,Widowed,Business,Rural,761,84577,74469,0,10108,0
189,82603,276574,Married,Unemployed,Rural,2591,491922,46563,8,445359,0
157,142877,250029,Single,Unemployed,Urban,6257,292802,140969,9,151833,0
114,208709,350832,Married,Business,Rural,1706,346960,232511,6,114449,0
163,370450,285606,Married,Freelancer,Rural,8704,43127,299856,6,-256729,1
5,408937,13558,Single,Unemployed,Rural,3796,181734,296411,6,-114677,1
44,167425,186830,Single,Unemployed,Rural,3121,208842,297744,9,-88902,1
32,429916,125871,Divorced,Freelancer,Urban,9946,467663,342,2,467321,0
4,86996,156861,Married,Salaried,Rural,4598,297013,220206,0,76807,0
55,89652,145009,Single,Unemployed,Urban,4857,372573,163063,8,209510,0
27,379993,381381,Married,Business,Urban,4606,385254,256295,2,128959,0
134,261311,391379,Widowed,Unemployed,Rural,9732,252369,247964,1,4405,1
58,209716,251068,Divorced,Salaried,Rural,9772,341367,16158,8,325209,0
146,47667,318331,Married,Salaried,Urban,5233,128086,265213,4,-137127,1
61,441061,198192,Married,Business,Rural,1909,479408,42489,5,436919,0
42,257008,86608,Divorced,Unemployed,Urban,565,186906,214140,8,-27234,1
49,344159,72018,Married,Unemployed,Urban,533,215095,141097,0,73998,0
180,494088,126323,Divorced,Salaried,Urban,1358,476587,51525,7,425062,0
119,173164,189088,Widowed,Unemployed,Urban,2254,231403,55879,2,175524,0
101,311971,325158,Divorced,Salaried,Urban,1092,24266,299786,2,-275520,1
37,329099,393769,Widowed,Business,Urban,781,286251,108393,3,177858,0
144,409867,39826,Divorced,Unemployed,Rural,2948,271382,100185,2,171197,0
26,402645,35159,Married,Salaried,Urban,3914,195033,282329,0,-87296,1
164,43602,293111,Married,Business,Rural,6702,4393,45703,6,-41310,1
126,416734,168231,Single,Freelancer,Urban,7594,260543,269712,1,-9169,1
6,144757,304610,Married,Unemployed,Urban,8611,466849,230995,0,235854,0
37,231763,343323,Married,Salaried,Rural,9693,73442,205745,9,-132303,1
120,184439,211797,Divorced,Salaried,Urban,4166,328693,245667,5,83026,0
156,249025,163411,Divorced,Freelancer,Rural,5419,411562,180850,5,230712,0
50,97270,235410,Widowed,Unemployed,Urban,9873,139109,270987,5,-131878,1
107,465329,38796,Married,Business,Urban,3318,282323,2029,1,280294,0
102,402055,165596,Married,Unemployed,Rural,7458,485975,54310,4,431665,0
142,326731,343322,Widowed,Freelancer,Urban,3390,315615,146706,9,168909,0
143,252232,105714,Married,Freelancer,Urban,1931,19737,240233,2,-220496,1
96,298618,266955,Single,Salaried,Rural,3294,36865,66479,6,-29614,1
10,54703,154998,Single,Salaried,Rural,9357,466444,195626,6,270818,0
160,345221,145024,Widowed,Business,Rural,8803,196994,195081,8,1913,1
95,472017,371802,Divorced,Business,Rural,4751,275558,287215,3,-11657,1
91,497422,154865,Widowed,Freelancer,Rural,9745,469987,5265,4,464722,0
126,84489,124993,Married,Business,Urban,951,243083,37171,3,205912,0
147,259678,180722,Divorced,Business,Rural,4364,348058,246124,0,101934,0
28,243881,77612,Single,Business,Urban,4850,449783,188463,3,261320,0
15,344829,136780,Widowed,Salaried,Rural,4503,60173,52876,2,7297,0
93,183807,84128,Single,Freelancer,Urban,6055,228553,184425,3,44128,0
144,266938,29839,Single,Salaried,Rural,8682,419304,141517,2,277787,0
184,38547,336158,Divorced,Business,Rural,2038,413045,211377,4,201668,0
36,67706,365624,Single,Salaried,Urban,3353,496293,274790,3,221503,0
76,338623,122981,Married,Freelancer,Urban,6065,170443,296833,9,-126390,1
17,142035,84770,Divorced,Unemployed,Rural,8296,187509,68093,8,119416,0
70,215156,356182,Widowed,Business,Rural,8252,185383,145084,9,40299,0
123,82583,267766,Single,Unemployed,Rural,8493,455498,2850,3,452648,0
176,450575,131785,Divorced,Business,Rural,6647,442417,108739,2,333678,0
138,293425,280949,Divorced,Salaried,Rural,9560,5825,234040,8,-228215,1
184,229773,195794,Divorced,Business,Rural,3439,24253,163082,8,-138829,1
18,86328,377760,Widowed,Salaried,Urban,1706,6153,134550,6,-128397,1
69,39954,161763,Single,Freelancer,Rural,891,305004,111481,4,193523,0
115,184133,157172,Widowed,Freelancer,Urban,8804,248069,36823,7,211246,0
52,41850,223299,Single,Salaried,Rural,8172,494902,6853,6,488049,0
9,190501,104736,Married,Freelancer,Urban,8431,141225,184540,6,-43315,1
0,151313,366791,Widowed,Salaried,Rural,5197,349756,38613,6,311143,0
0,39390,165403,Married,Salaried,Urban,8346,357525,148232,2,209293,0
46,484761,319532,Married,Freelancer,Rural,6558,220590,114707,1,105883,0
154,242373,246834,Married,Business,Urban,2909,92050,46243,9,45807,0
152,321936,261316,Widowed,Unemployed,Urban,6944,120137,242651,1,-122514,1
102,33232,160823,Widowed,Business,Urban,4841,412206,171635,0,240571,0
137,177657,65983,Married,Freelancer,Urban,4772,14554,146165,2,-131611,1
163,105485,389487,Divorced,Salaried,Urban,1330,354037,254073,3,99964,0
173,393175,109679,Widowed,Business,Urban,7339,146313,260623,9,-114310,1
135,264915,126015,Married,Freelancer,Rural,7861,123692,120989,3,2703,1
189,434697,74119,Single,Unemployed,Urban,4218,120891,24202,8,96689,0
156,220504,59534,Divorced,Business,Urban,7378,482034,142832,6,339202,0
52,238369,134425,Widowed,Salaried,Rural,5277,490768,172284,8,318484,0
105,121488,81999,Married,Salaried,Urban,6976,12878,258728,6,-245850,1
3,216716,137005,Married,Salaried,Urban,3389,140842,99228,6,41614,0
48,464355,195532,Divorced,Freelancer,Rural,6553,132363,133717,6,-1354,1
111,70885,133556,Widowed,Business,Urban,7538,365523,87535,4,277988,0
196,135192,48708,Divorced,Freelancer,Rural,7254,338047,123912,8,214135,0
169,237253,245098,Divorced,Business,Urban,8981,468031,291806,5,176225,0
117,468406,143291,Widowed,Unemployed,Rural,2072,429437,80766,0,348671,0
74,447662,164500,Divorced,Unemployed,Rural,474,375503,235990,5,139513,0
64,456711,17205,Married,Unemployed,Rural,8343,194350,228171,8,-33821,1
83,243394,187003,Divorced,Salaried,Urban,8736,330963,279095,6,51868,0
33,237914,175961,Divorced,Business,Urban,9160,263857,161305,0,102552,0
96,357005,24576,Married,Business,Rural,3849,31898,120286,8,-88388,1
13,408139,91984,Divorced,Freelancer,Urban,1211,139541,207005,1,-67464,1
180,387443,226336,Single,Salaried,Rural,2040,272090,213035,6,59055,0
75,336122,14604,Married,Salaried,Rural,4676,288652,155773,6,132879,0
0,430725,177399,Married,Freelancer,Urban,2583,336570,43794,0,292776,0
7,225325,36615,Divorced,Unemployed,Urban,3963,229572,259173,5,-29601,1
145,484927,22879,Married,Salaried,Rural,1546,261712,188228,4,73484,0
132,252029,302526,Married,Salaried,Rural,8448,429281,268743,2,160538,0
126,272661,29493,Married,Salaried,Rural,3053,437909,91878,1,346031,0
127,359127,210532,Single,Unemployed,Urban,1540,485085,177305,5,307780,0
66,410173,16828,Married,Salaried,Urban,1166,337346,267246,9,70100,0
149,10220,39647,Single,Unemployed,Rural,9930,11974,121385,5,-109411,1
133,35367,228556,Single,Business,Rural,2449,280048,181905,1,98143,0
87,25638,386407,Widowed,Salaried,Rural,8034,431374,167911,5,263463,0
154,276556,332818,Married,Freelancer,Urban,1508,66630,229979,5,-163349,1
36,65048,396201,Married,Salaried,Urban,9479,442498,193309,4,249189,0
120,176011,72371,Divorced,Unemployed,Urban,376,357532,39580,3,317952,0
34,191986,246772,Single,Freelancer,Urban,626,399749,215002,3,184747,0
126,228447,162433,Married,Business,Rural,1173,112560,260303,9,-147743,1
35,434061,56224,Married,Freelancer,Urban,7390,184410,42674,6,141736,0
188,12615,249094,Single,Business,Rural,6388,307648,43905,7,263743,0
123,397349,214574,Single,Salaried,Urban,7079,475888,93117,9,382771,0
0,34558,124730,Widowed,Business,Rural,5596,344757,2788,1,341969,0
175,160627,294438,Widowed,Freelancer,Rural,7053,221345,249656,4,-28311,1
86,141010,116868,Widowed,Unemployed,Rural,7885,220857,81178,7,139679,0
90,11746,67985,Married,Unemployed,Urban,9809,457735,43492,1,414243,0
66,411792,127983,Widowed,Freelancer,Rural,1417,377966,40201,8,337765,0
76,382239,168056,Single,Unemployed,Urban,4881,75352,298790,1,-223438,1
166,121499,204382,Married,Freelancer,Rural,6562,237198,220220,3,16978,0
2,250772,74957,Married,Unemployed,Urban,4751,485413,131063,3,354350,0
25,149182,175965,Single,Unemployed,Urban,4206,285450,158060,0,127390,0
196,13795,313061,Married,Freelancer,Urban,6139,404552,52023,9,352529,0
182,199030,246203,Married,Freelancer,Rural,9920,129306,133668,0,-4362,1
2,47718,373708,Single,Business,Rural,2530,223436,49599,3,173837,0
55,51687,6023,Divorced,Freelancer,Urban,2625,216651,189993,9,26658,0
27,225898,218128,Widowed,Freelancer,Rural,4209,162826,145002,2,17824,0
170,128236,383694,Married,Business,Urban,9529,137206,108986,7,28220,0
29,106650,187827,Married,Salaried,Rural,5563,117561,252642,8,-135081,1
86,242870,91336,Single,Salaried,Rural,1334,348578,8063,1,340515,0
145,203907,382631,Single,Business,Rural,6083,34347,66688,5,-32341,1
4,292302,96249,Single,Business,Urban,3313,239288,138012,7,101276,0
85,433866,100006,Single,Salaried,Rural,5480,452950,259052,5,193898,0
108,421551,16804,Single,Salaried,Urban,7082,307092,296681,0,10411,0
60,80869,175249,Divorced,Unemployed,Rural,7991,27260,98845,6,-71585,1
0,332225,137576,Divorced,Business,Urban,2530,199579,28251,1,171328,0
63,103334,311514,Married,Business,Urban,6683,244486,186020,5,58466,0
141,324788,169971,Married,Business,Urban,8244,489164,93897,2,395267,0
40,229751,231213,Divorced,Business,Urban,167,56158,89178,2,-33020,1
72,389103,288096,Divorced,Unemployed,Urban,424,183458,40607,0,142851,0
195,148669,141440,Single,Freelancer,Urban,7590,241488,86261,7,155227,0
180,144592,311144,Married,Business,Urban,7572,141298,56203,6,85095,0
158,96233,124064,Single,Unemployed,Rural,5523,403031,244524,0,158507,0
121,139613,195673,Single,Business,Urban,9345,144883,78211,0,66672,0
58,169250,382630,Single,Salaried,Rural,1993,430549,82343,8,348206,0
193,275387,154529,Married,Business,Urban,505,429263,92341,6,336922,0
36,171454,386197,Widowed,Salaried,Urban,3757,364132,147349,8,216783,0
49,300962,69819,Married,Salaried,Urban,3323,74629,204439,9,-129810,1
193,491240,183582,Widowed,Business,Rural,9684,343563,27356,8,316207,0
13,134139,54425,Single,Unemployed,Rural,9302,258816,244493,2,14323,0
142,493812,83136,Widowed,Freelancer,Urban,2922,60145,227908,8,-167763,1
24,194100,216060,Married,Business,Rural,9081,47631,215323,7,-167692,1
91,269618,283553,Divorced,Business,Urban,8962,468472,112392,5,356080,0
7,206257,175040,Single,Business,Urban,542,355186,8614,4,346572,0
185,459387,388304,Single,Business,Urban,7435,300385,117477,4,182908,0
121,491149,143056,Single,Freelancer,Rural,5862,327358,93061,4,234297,0
183,351415,339178,Single,Freelancer,Urban,4284,38500,172916,9,-134416,1
141,12609,351024,Widowed,Business,Urban,555,173753,293480,1,-119727,1
83,24994,216137,Single,Salaried,Urban,1895,176602,298967,0,-122365,1
41,491559,334245,Divorced,Business,Rural,8699,102276,273585,1,-171309,1
12,160301,150898,Single,Business,Rural,2444,492021,46253,2,445768,0
18,74973,265090,Married,Business,Urban,7195,379474,200985,8,178489,0
33,407931,117337,Married,Freelancer,Rural,2260,419978,132744,6,287234,0
100,196156,290028,Divorced,Unemployed,Rural,9928,189556,148436,3,41120,0
173,486228,245145,Single,Freelancer,Rural,5843,14244,270474,9,-256230,1
116,250343,68326,Widowed,Salaried,Rural,7122,286398,141901,4,144497,0
54,415906,106831,Divorced,Freelancer,Rural,2919,362730,215207,1,147523,0
191,279155,303604,Divorced,Unemployed,Rural,6115,274378,187376,2,87002,0
184,169135,197801,Married,Freelancer,Rural,3839,414004,213786,6,200218,0
199,406501,287216,Single,Unemployed,Urban,9553,51087,106535,1,-55448,1
191,239658,113273,Single,Freelancer,Urban,7424,252382,126999,2,125383,0
96,311636,92491,Single,Freelancer,Urban,2311,106762,186766,5,-80004,1
132,110077,220032,Divorced,Freelancer,Urban,9321,433984,151662,4,282322,0
42,272648,103722,Widowed,Salaried,Urban,3223,248110,99965,1,148145,0
103,295025,87641,Single,Business,Rural,3978,366160,214727,2,151433,0
16,15394,277485,Divorced,Salaried,Urban,8913,171887,282696,4,-110809,1
88,70813,200184,Divorced,Salaried,Urban,6032,39984,173199,7,-133215,1
173,351616,3199,Married,Business,Urban,862,407704,284579,1,123125,0
160,103172,189802,Single,Freelancer,Rural,9744,368694,135593,9,233101,0
68,69110,327980,Divorced,Freelancer,Rural,5343,30062,154489,2,-124427,1
14,318322,297696,Married,Salaried,Urban,7146,442738,44307,3,398431,0
41,365367,28984,Married,Business,Urban,883,52330,183953,0,-131623,1
